# DEC     RA      z
0.378384 13.5721 0.460045
0.331458 13.2336 0.571444
0.304013 12.9409 0.652296
0.337016 16.4065 0.525264
0.27462 14.7689 0.668255
0.305159 17.9044 0.606502
0.232908 17.2049 0.742979
0.303383 21.4197 0.648532
0.371852 31.8649 0.49011
0.359763 32.4961 0.507313
0.330828 30.1134 0.58874
0.277714 26.1024 0.723183
0.356382 36.9559 0.525146
0.275766 32.3124 0.635936
0.308367 37.3231 0.604252
0.308654 41.0358 0.587956
0.384916 54.8639 0.485739
0.353345 58.4603 0.474596
0.315701 44.6853 0.61645
0.304815 48.1204 0.596606
0.31616 51.984 0.571279
0.328765 63.0357 0.512165
0.292611 50.4033 0.627122
0.368414 76.9638 0.486328
0.371222 73.5317 0.510953
0.328708 76.9399 0.523862
0.340052 87.1037 0.51988
0.345954 75.3991 0.5559
0.304643 65.8404 0.607929
0.257144 59.656 0.662202
0.236117 54.8364 0.726007
0.266484 57.4772 0.713051
0.295819 66.5035 0.659359
0.262072 63.1295 0.701679
0.26465 69.3828 0.677474
0.232392 64.8051 0.731568
0.253363 72.5971 0.717631
0.300002 0.997978 0.690605
0.423706 3.95931 0.502255
0.309571 4.73716 0.706105
0.389041 10.3833 0.503386
0.347902 10.1768 0.643954
0.336672 11.9379 0.668414
0.430811 19.6851 0.456032
0.330541 17.2667 0.601276
0.343777 19.6094 0.607855
0.299257 18.4318 0.732408
0.331802 22.5011 0.672443
0.428691 31.8995 0.484484
0.394141 32.0796 0.561909
0.413908 40.4438 0.470572
0.397349 35.1506 0.568415
0.396433 37.9267 0.541699
0.405658 46.9277 0.478711
0.33077 40.0444 0.598945
0.356898 45.1786 0.559771
0.374201 47.5927 0.562543
0.316332 39.3479 0.699916
0.41706 68.1022 0.465007
0.304357 42.9295 0.693609
0.412075 65.1149 0.507859
0.458428 72.9534 0.481824
0.401016 87.7382 0.476363
0.391505 65.2706 0.544437
0.379473 76.1616 0.517205
0.37953 63.6105 0.583045
0.337589 65.3642 0.581664
0.34137 55.8396 0.669553
0.364576 72.5873 0.576095
0.332948 64.218 0.641796
0.372884 76.4987 0.605558
0.34561 78.0814 0.611804
0.280521 58.8232 0.749962
0.338907 71.4288 0.692414
0.325957 84.8582 0.673306
0.299315 85.0501 0.710706
0.291064 85.189 0.743396
0.475217 2.08505 0.486677
0.352027 2.31137 0.69997
0.501803 4.96439 0.456172
0.435853 6.22393 0.575945
0.506329 9.87458 0.451926
0.468513 12.0086 0.517388
0.436082 16.3569 0.525146
0.460262 18.3016 0.526427
0.352199 16.8137 0.730799
0.480603 24.9958 0.520195
0.42193 22.0405 0.621397
0.473211 30.2852 0.487327
0.496188 33.5736 0.478995
0.411445 31.3737 0.561504
0.446682 35.6297 0.528637
0.410757 31.3561 0.645311
0.493781 42.563 0.505426
0.488281 46.3408 0.502549
0.487765 48.2514 0.514032
0.40136 42.8122 0.615725
0.508163 57.0591 0.488916
0.421242 47.6458 0.601023
0.474071 61.408 0.510586
0.515669 75.1066 0.469462
0.437228 56.7735 0.576849
0.454819 74.6535 0.496396
0.400615 51.8192 0.650465
0.503522 80.6637 0.506841
0.366695 48.6447 0.717755
0.462267 71.0436 0.554851
0.449204 82.3839 0.544803
0.447141 78.178 0.571484
0.396261 63.8878 0.654548
0.350538 60.2698 0.707939
0.379072 65.627 0.679705
0.350251 61.1545 0.737885
0.392995 71.9477 0.678407
0.362226 73.71 0.701655
0.350652 79.1048 0.706139
0.349392 85.7563 0.712125
0.58139 0.399695 0.471634
0.474816 2.94718 0.546333
0.445823 4.2663 0.62179
0.579843 8.86497 0.480465
0.539963 11.0048 0.476289
0.557783 12.0978 0.481966
0.486791 13.0642 0.531981
0.439119 12.0091 0.65228
0.536583 16.4966 0.52492
0.455564 17.4401 0.625533
0.463471 20.0801 0.631397
0.444104 21.3991 0.662635
0.563971 35.0191 0.462572
0.457225 29.6838 0.60946
0.42256 30.4355 0.642252
0.417289 30.6105 0.702893
0.568269 49.4697 0.45979
0.518018 45.4378 0.529924
0.432473 36.8657 0.666036
0.503006 46.8005 0.555675
0.407892 38.4705 0.698101
0.455506 46.4178 0.600692
0.491145 50.3979 0.571318
0.482379 54.6723 0.550262
0.498995 58.8064 0.541506
0.452871 55.325 0.584751
0.494182 65.6036 0.527775
0.541912 70.7056 0.517338
0.436082 54.394 0.625226
0.528217 69.7223 0.543593
0.49911 84.9333 0.515565
0.372425 49.2967 0.736566
0.447255 69.0552 0.59596
0.380103 53.8233 0.734258
0.420899 58.7193 0.701723
0.410012 67.7871 0.661355
0.401819 66.6123 0.677808
0.441698 83.6658 0.62709
0.452126 76.3343 0.661728
0.427259 89.6984 0.663409
0.40497 81.5793 0.700264
0.529249 0.0892095 0.551549
0.551251 2.2688 0.53755
0.629235 4.18964 0.491389
0.49338 4.19354 0.667823
0.458428 6.85773 0.685229
0.520081 8.98031 0.590766
0.564946 11.4991 0.549473
0.613363 15.034 0.488873
0.650149 17.0689 0.489118
0.502032 14.2787 0.661563
0.639377 23.5422 0.474791
0.673928 29.7699 0.450908
0.475389 23.0022 0.687789
0.503121 27.88 0.62701
0.633876 37.931 0.478235
0.662984 40.5769 0.476992
0.599669 40.6106 0.499032
0.530968 34.9978 0.603914
0.612274 42.5181 0.510631
0.543573 40.7788 0.564605
0.528275 40.012 0.602364
0.565347 49.4908 0.524435
0.637142 55.4152 0.495052
0.499912 42.2031 0.655058
0.451782 41.5021 0.700213
0.538703 60.0963 0.542056
0.64356 83.4564 0.47205
0.448974 44.5192 0.726001
0.606258 84.0427 0.486091
0.574056 72.8046 0.517243
0.530395 65.6519 0.553451
0.472409 51.508 0.686517
0.541912 65.6333 0.584822
0.476477 58.7039 0.650325
0.574113 84.9455 0.559879
0.546037 80.8234 0.577136
0.46582 59.6435 0.696578
0.537786 81.3836 0.601069
0.500199 76.6428 0.639936
0.443474 68.2227 0.70197
0.465533 84.9046 0.670899
0.456538 81.4896 0.745673
0.495844 1.81524 0.714167
0.587808 3.31261 0.609503
0.508621 4.61684 0.705623
0.612389 7.22826 0.571186
0.715127 10.7331 0.478899
0.633532 12.6672 0.524346
0.584083 12.2508 0.597721
0.52667 12.4155 0.661394
0.466622 12.6006 0.735832
0.651066 19.8745 0.515328
0.591016 20.6023 0.551427
0.693697 27.3409 0.48887
0.593423 26.5308 0.559352
0.547011 24.1909 0.669139
